moeda,valor,data,hora
Dólar de Hong Kong,0.64,26/03/2024,17:40:25
Dólar Canadense,3.66,26/03/2024,17:40:31
Baht Tailandês,0.14,26/03/2024,17:40:36
Baht Tailandês,0.14,26/03/2024,17:40:42
Zlóti Polonês,1.25,26/03/2024,17:40:48
Dólar Americano,4.98,26/03/2024,17:40:53
Coroa Sueca,0.47,26/03/2024,17:40:59
Peso Colombiano,0.00,26/03/2024,17:41:05
Dirham dos Emirados,1.36,26/03/2024,17:41:11
Euro,5.39,26/03/2024,17:41:16
Bitcoin,349934.00,26/03/2024,17:41:22
Guarani Paraguaio,0.00,26/03/2024,17:41:28
Dogecoin,0.89,26/03/2024,17:41:33
Peso Colombiano,0.00,26/03/2024,17:41:39
Dólar Taiuanês,0.16,26/03/2024,17:41:47
Bitcoin,349934.00,26/03/2024,17:41:53
Coroa Dinamarquesa,0.72,26/03/2024,17:41:59
Sol do Peru,1.34,26/03/2024,17:42:04
Riyal Saudita,1.33,26/03/2024,17:42:10
Baht Tailandês,0.14,26/03/2024,17:42:16
Coroa Sueca,0.47,26/03/2024,17:42:22
Dirham dos Emirados,1.36,26/03/2024,17:42:28
Libra Esterlina,6.29,26/03/2024,17:42:33
Rublo Russo,0.05,26/03/2024,17:42:39
Rand Sul-Africano,0.26,26/03/2024,17:42:45
Dólar Taiuanês,0.16,26/03/2024,17:42:51
Yuan Chinês,0.69,26/03/2024,17:42:57
Peso Argentino,0.01,26/03/2024,17:43:03
Dólar Neozelandês,2.99,26/03/2024,17:43:09
Dólar Taiuanês,0.16,26/03/2024,17:43:14
Euro,5.39,26/03/2024,17:43:20
Rublo Russo,0.05,26/03/2024,17:43:25
Guarani Paraguaio,0.00,26/03/2024,17:43:31
Novo Shekel Israelense,1.36,26/03/2024,17:43:37
Peso Mexicano,0.30,26/03/2024,17:43:43
Ethereum,17909.98,26/03/2024,17:43:49
Coroa Sueca,0.47,26/03/2024,17:43:55
Iene Japonês,0.03,26/03/2024,17:44:01
Dólar de Cingapura,3.70,26/03/2024,17:44:07
Euro,5.39,26/03/2024,17:44:12
Dólar Canadense,3.66,26/03/2024,17:44:18
Dólar de Hong Kong,0.64,26/03/2024,17:44:24
Dólar Neozelandês,2.99,26/03/2024,17:44:30
Peso Uruguaio,0.13,26/03/2024,17:44:36
Dólar de Hong Kong,0.64,26/03/2024,17:44:41
Peso Argentino,0.01,26/03/2024,17:44:47
Dólar Taiuanês,0.16,26/03/2024,17:44:53
Dólar de Cingapura,3.70,26/03/2024,17:44:59
Iene Japonês,0.03,26/03/2024,17:45:05
Peso Argentino,0.01,26/03/2024,17:45:11
XRP,3.17,26/03/2024,17:45:17
Riyal Saudita,1.33,26/03/2024,17:45:22
Bolívar Venezuelano,0.14,26/03/2024,17:45:29
Bolívar Venezuelano,0.14,26/03/2024,17:45:34
Boliviano,0.72,26/03/2024,17:45:40
Bitcoin,349583.00,26/03/2024,17:45:46
Peso Chileno,0.01,26/03/2024,17:45:52
Peso Colombiano,0.00,26/03/2024,17:45:58
Zlóti Polonês,1.25,26/03/2024,17:46:04
Peso Mexicano,0.30,26/03/2024,17:46:10
Franco Suíço,5.51,26/03/2024,17:46:16
Novo Shekel Israelense,1.36,26/03/2024,17:46:22
Rand Sul-Africano,0.26,26/03/2024,17:46:29
Dirham dos Emirados,1.36,26/03/2024,17:46:35
Libra Esterlina,6.29,26/03/2024,17:46:41
Peso Mexicano,0.30,26/03/2024,17:46:47
Nova Lira Turca,0.15,26/03/2024,17:46:53
Peso Uruguaio,0.13,26/03/2024,17:46:59
Dirham dos Emirados,1.36,26/03/2024,17:47:04
Dólar de Hong Kong,0.64,26/03/2024,17:47:10
Dirham dos Emirados,1.36,26/03/2024,17:47:15
Dólar de Hong Kong,0.64,26/03/2024,17:47:22
Dólar Australiano,3.25,26/03/2024,17:47:28
Novo Shekel Israelense,1.36,26/03/2024,17:47:33
Bolívar Venezuelano,0.14,26/03/2024,17:47:39
Dólar Neozelandês,2.99,26/03/2024,17:47:45
Peso Colombiano,0.00,26/03/2024,17:47:51
Rublo Russo,0.05,26/03/2024,17:47:57
Dólar Taiuanês,0.16,26/03/2024,17:48:03
Riyal Saudita,1.33,26/03/2024,17:48:09
Zlóti Polonês,1.25,26/03/2024,17:48:15
Rublo Russo,0.05,26/03/2024,17:48:21
Dólar Canadense,3.66,26/03/2024,17:48:27
Dirham dos Emirados,1.36,26/03/2024,17:48:32
Coroa Dinamarquesa,0.72,26/03/2024,17:48:38
Coroa Norueguesa,0.46,26/03/2024,17:48:45
Boliviano,0.72,26/03/2024,17:48:50
Yuan Chinês,0.69,26/03/2024,17:48:56
Franco Suíço,5.51,26/03/2024,17:49:01
Rúpia Indiana,0.06,26/03/2024,17:49:07
Nova Lira Turca,0.15,26/03/2024,17:49:13
Coroa Dinamarquesa,0.72,26/03/2024,17:49:19
Peso Uruguaio,0.13,26/03/2024,17:49:25
Ethereum,17883.11,26/03/2024,17:49:31
Dirham dos Emirados,1.36,26/03/2024,17:49:36
Peso Mexicano,0.30,26/03/2024,17:49:42
Baht Tailandês,0.14,26/03/2024,17:49:48
Rúpia Indiana,0.06,26/03/2024,17:49:54
Rand Sul-Africano,0.26,26/03/2024,17:49:59
Dólar de Cingapura,3.70,26/03/2024,17:50:05
Dólar Australiano,3.25,26/03/2024,17:50:10
Dólar Americano,4.98,26/03/2024,17:50:16
Rublo Russo,0.05,26/03/2024,17:50:22
Dogecoin,0.89,26/03/2024,17:50:27
Iene Japonês,0.03,26/03/2024,17:50:33
Iene Japonês,0.03,26/03/2024,17:50:39
Yuan Chinês,0.69,26/03/2024,17:50:44
Franco Suíço,5.51,26/03/2024,17:50:50
Iene Japonês,0.03,26/03/2024,17:50:56
Dólar Neozelandês,2.99,26/03/2024,17:51:02
Rand Sul-Africano,0.26,26/03/2024,17:51:07
Coroa Dinamarquesa,0.72,26/03/2024,17:51:13
XRP,3.16,26/03/2024,17:51:19
Dirham dos Emirados,1.36,26/03/2024,17:51:25
Rand Sul-Africano,0.26,26/03/2024,17:51:31
Dólar Australiano,3.25,26/03/2024,17:51:36
Euro,5.39,26/03/2024,17:51:42
Ethereum,17864.47,26/03/2024,17:51:48
Dólar de Cingapura,3.70,26/03/2024,17:51:54
Coroa Sueca,0.47,26/03/2024,17:51:59
Libra Esterlina,6.29,26/03/2024,17:52:05
Coroa Norueguesa,0.46,26/03/2024,17:52:11
Peso Mexicano,0.30,26/03/2024,17:52:17
Dogecoin,0.89,26/03/2024,17:52:23
Euro,5.39,26/03/2024,17:52:29
Sol do Peru,1.34,26/03/2024,17:52:34
Boliviano,0.72,26/03/2024,17:52:40
Dólar Neozelandês,2.99,26/03/2024,17:52:46
Iene Japonês,0.03,26/03/2024,17:52:52
Bitcoin,349162.00,26/03/2024,17:52:58
Yuan Chinês,0.69,26/03/2024,17:53:03
Dólar de Hong Kong,0.64,26/03/2024,17:53:09
Dirham dos Emirados,1.36,26/03/2024,17:53:15
Rand Sul-Africano,0.26,26/03/2024,17:53:21
Dogecoin,0.89,26/03/2024,17:53:27
Peso Uruguaio,0.13,26/03/2024,17:53:33
Dólar de Hong Kong,0.64,26/03/2024,17:53:38
Peso Argentino,0.01,26/03/2024,17:53:44
Guarani Paraguaio,0.00,26/03/2024,17:53:50
Coroa Norueguesa,0.46,26/03/2024,17:53:55
Guarani Paraguaio,0.00,26/03/2024,17:54:01
Litecoin,467.00,26/03/2024,17:54:07
Peso Chileno,0.01,26/03/2024,17:54:13
Nova Lira Turca,0.15,26/03/2024,17:54:18
Peso Colombiano,0.00,26/03/2024,17:54:24
Dirham dos Emirados,1.36,26/03/2024,17:54:30
Libra Esterlina,6.29,26/03/2024,17:54:36
Bitcoin,349166.00,26/03/2024,17:54:41
Rand Sul-Africano,0.26,26/03/2024,17:54:47
Dólar de Cingapura,3.70,26/03/2024,17:54:53
Rand Sul-Africano,0.26,26/03/2024,17:54:59
Rúpia Indiana,0.06,26/03/2024,17:55:04
Coroa Dinamarquesa,0.72,26/03/2024,17:55:10
Bolívar Venezuelano,0.14,26/03/2024,17:55:16
Dólar Canadense,3.66,26/03/2024,17:55:22
Dirham dos Emirados,1.36,26/03/2024,17:55:27
XRP,3.16,26/03/2024,17:55:33
Peso Colombiano,0.00,26/03/2024,17:55:39
Rúpia Indiana,0.06,26/03/2024,17:55:45
Coroa Norueguesa,0.46,26/03/2024,17:55:51
Peso Argentino,0.01,26/03/2024,17:55:56
Coroa Sueca,0.47,26/03/2024,17:56:02
Iene Japonês,0.03,26/03/2024,17:56:08
Peso Argentino,0.01,26/03/2024,17:56:13
Coroa Sueca,0.47,26/03/2024,17:56:19
Peso Chileno,0.01,26/03/2024,17:56:25
Guarani Paraguaio,0.00,26/03/2024,17:56:30
Peso Mexicano,0.30,26/03/2024,17:56:36
Dólar Australiano,3.25,26/03/2024,17:56:42
Dólar de Cingapura,3.70,26/03/2024,17:56:48
Riyal Saudita,1.33,26/03/2024,17:56:54
Dólar Australiano,3.25,26/03/2024,17:56:59
Bitcoin,349166.00,26/03/2024,17:57:05
Peso Chileno,0.01,26/03/2024,17:57:11
Novo Shekel Israelense,1.36,26/03/2024,17:57:17
Bolívar Venezuelano,0.14,26/03/2024,17:57:23
Zlóti Polonês,1.25,26/03/2024,17:57:29
Bolívar Venezuelano,0.14,26/03/2024,17:57:35
Peso Argentino,0.01,26/03/2024,17:57:40
Peso Colombiano,0.00,26/03/2024,17:57:46
Dólar Taiuanês,0.16,26/03/2024,17:57:52
Peso Chileno,0.01,26/03/2024,17:57:58
Peso Argentino,0.01,26/03/2024,17:58:03
Dólar de Cingapura,3.70,26/03/2024,17:58:09
Dólar de Cingapura,3.70,26/03/2024,17:58:15
Peso Argentino,0.01,26/03/2024,17:58:20
Dólar Taiuanês,0.16,26/03/2024,17:58:26
Coroa Sueca,0.47,26/03/2024,17:58:32
Dólar de Cingapura,3.70,26/03/2024,17:58:37
Bolívar Venezuelano,0.14,26/03/2024,17:58:43
Dólar Canadense,3.66,26/03/2024,17:58:49
Zlóti Polonês,1.25,26/03/2024,17:58:55
Guarani Paraguaio,0.00,26/03/2024,17:59:01
Yuan Chinês,0.69,26/03/2024,17:59:07
Ethereum,17907.32,26/03/2024,17:59:13
Novo Shekel Israelense,1.36,26/03/2024,17:59:19
Rand Sul-Africano,0.26,26/03/2024,17:59:25
Novo Shekel Israelense,1.36,26/03/2024,17:59:30
Dirham dos Emirados,1.36,26/03/2024,17:59:36
Coroa Norueguesa,0.46,26/03/2024,17:59:42
Dólar de Hong Kong,0.64,26/03/2024,17:59:48
Coroa Dinamarquesa,0.72,26/03/2024,17:59:54
Dogecoin,0.88,26/03/2024,17:59:59
Dólar de Hong Kong,0.64,26/03/2024,18:00:05
Dólar de Hong Kong,0.64,26/03/2024,18:00:10
Dólar Neozelandês,2.99,26/03/2024,18:00:16
Riyal Saudita,1.33,26/03/2024,18:00:22
XRP,3.16,26/03/2024,18:00:28
Dólar Taiuanês,0.16,26/03/2024,18:00:34
Peso Chileno,0.01,26/03/2024,18:00:40
Euro,5.39,26/03/2024,18:00:45
Zlóti Polonês,1.25,26/03/2024,18:00:51
Rúpia Indiana,0.06,26/03/2024,18:00:57
Franco Suíço,5.51,26/03/2024,18:01:03
Ethereum,17916.54,26/03/2024,18:01:09
Euro,5.39,26/03/2024,18:01:15
Zlóti Polonês,1.25,26/03/2024,18:01:20
Boliviano,0.72,26/03/2024,18:01:26
Peso Chileno,0.01,26/03/2024,18:01:32
Bitcoin,349166.00,26/03/2024,18:01:38
Dólar de Cingapura,3.70,26/03/2024,18:01:43
Boliviano,0.72,26/03/2024,18:01:49
Nova Lira Turca,0.15,26/03/2024,18:01:55
Dirham dos Emirados,1.36,26/03/2024,18:02:01
XRP,3.16,26/03/2024,18:02:07
Dólar Canadense,3.66,26/03/2024,18:02:12
Dólar Australiano,3.25,26/03/2024,18:02:18
Bitcoin,349790.00,26/03/2024,18:02:24
Dólar de Hong Kong,0.64,26/03/2024,18:02:30
Bitcoin,349790.00,26/03/2024,18:02:35
Peso Mexicano,0.30,26/03/2024,18:02:41
Peso Chileno,0.01,26/03/2024,18:02:47
Coroa Sueca,0.47,26/03/2024,18:02:53
Libra Esterlina,6.29,26/03/2024,18:02:59
Zlóti Polonês,1.25,26/03/2024,18:03:05
Euro,5.39,26/03/2024,18:03:10
Novo Shekel Israelense,1.36,26/03/2024,18:03:16
Bitcoin,349790.00,26/03/2024,18:03:22
Dólar Taiuanês,0.16,26/03/2024,18:03:28
Dólar Neozelandês,2.99,26/03/2024,18:03:34
Dirham dos Emirados,1.36,26/03/2024,18:03:40
Peso Argentino,0.01,26/03/2024,18:03:45
Dólar Canadense,3.66,26/03/2024,18:03:51
Nova Lira Turca,0.15,26/03/2024,18:03:57
Dólar de Cingapura,3.70,26/03/2024,18:04:03
Dólar Australiano,3.25,26/03/2024,18:04:09
XRP,3.16,26/03/2024,18:04:15
Dólar Australiano,3.25,26/03/2024,18:04:21
Franco Suíço,5.51,26/03/2024,18:04:27
Zlóti Polonês,1.25,26/03/2024,18:04:33
Ethereum,17916.54,26/03/2024,18:04:39
Iene Japonês,0.03,26/03/2024,18:04:45
Yuan Chinês,0.69,26/03/2024,18:04:51
Coroa Sueca,0.47,26/03/2024,18:04:57
Baht Tailandês,0.14,26/03/2024,18:05:03
Peso Uruguaio,0.13,26/03/2024,18:05:10
Boliviano,0.72,26/03/2024,18:05:16
Coroa Dinamarquesa,0.72,26/03/2024,18:05:22
Euro,5.39,26/03/2024,18:05:27
Euro,5.39,26/03/2024,18:05:33
Bitcoin,350090.00,26/03/2024,18:05:39
Riyal Saudita,1.33,26/03/2024,18:05:45
Zlóti Polonês,1.25,26/03/2024,18:05:51
Zlóti Polonês,1.25,26/03/2024,18:05:56
Riyal Saudita,1.33,26/03/2024,18:06:03
Iene Japonês,0.03,26/03/2024,18:06:09
Dólar Neozelandês,2.99,26/03/2024,18:06:15
Ethereum,17898.28,26/03/2024,18:06:20
Peso Argentino,0.01,26/03/2024,18:06:27
Baht Tailandês,0.14,26/03/2024,18:06:33
Dólar Australiano,3.25,26/03/2024,18:06:38
Nova Lira Turca,0.15,26/03/2024,18:06:44
Rand Sul-Africano,0.26,26/03/2024,18:06:50
Dólar Americano,4.98,26/03/2024,18:06:56
Yuan Chinês,0.69,26/03/2024,18:07:02
Coroa Norueguesa,0.46,26/03/2024,18:07:08
Boliviano,0.72,26/03/2024,18:07:15
Dólar Canadense,3.66,26/03/2024,18:07:20
Rúpia Indiana,0.06,26/03/2024,18:07:26
Rúpia Indiana,0.06,26/03/2024,18:07:32
Dólar de Cingapura,3.70,26/03/2024,18:07:41
Dirham dos Emirados,1.36,26/03/2024,18:07:47
Riyal Saudita,1.33,26/03/2024,18:07:53
Peso Argentino,0.01,26/03/2024,18:07:59
Coroa Sueca,0.47,26/03/2024,18:08:05
XRP,3.17,26/03/2024,18:08:11
Dólar de Cingapura,3.70,26/03/2024,18:08:16
Yuan Chinês,0.69,26/03/2024,18:08:23
Novo Shekel Israelense,1.36,26/03/2024,18:08:29
Peso Uruguaio,0.13,26/03/2024,18:08:35
Dirham dos Emirados,1.36,26/03/2024,18:08:41
Peso Chileno,0.01,26/03/2024,18:08:47
Riyal Saudita,1.33,26/03/2024,18:08:52
Franco Suíço,5.51,26/03/2024,18:08:58
Franco Suíço,5.51,26/03/2024,18:09:04
Bitcoin,349790.00,26/03/2024,18:09:10
Litecoin,467.13,26/03/2024,18:09:16
Novo Shekel Israelense,1.36,26/03/2024,18:09:21
Dólar Taiuanês,0.16,26/03/2024,18:09:27
Rand Sul-Africano,0.26,26/03/2024,18:09:33
Riyal Saudita,1.33,26/03/2024,18:09:39
Rublo Russo,0.05,26/03/2024,18:09:45
Bolívar Venezuelano,0.14,26/03/2024,18:09:51
Boliviano,0.72,26/03/2024,18:09:57
Nova Lira Turca,0.15,26/03/2024,18:10:03
Yuan Chinês,0.69,26/03/2024,18:10:09
Rúpia Indiana,0.06,26/03/2024,18:10:14
XRP,3.17,26/03/2024,18:10:20
Dólar Canadense,3.66,26/03/2024,18:10:26
Dólar Taiuanês,0.16,26/03/2024,18:10:31
Euro,5.39,26/03/2024,18:10:37
Dólar Taiuanês,0.16,26/03/2024,18:10:43
Peso Chileno,0.01,26/03/2024,18:10:48
Peso Argentino,0.01,26/03/2024,18:10:54
Rúpia Indiana,0.06,26/03/2024,18:11:00
Baht Tailandês,0.14,26/03/2024,18:11:05
Dólar Taiuanês,0.16,26/03/2024,18:11:11
Coroa Norueguesa,0.46,26/03/2024,18:11:16
Coroa Sueca,0.47,26/03/2024,18:11:22
Coroa Norueguesa,0.46,26/03/2024,18:11:28
Euro,5.39,26/03/2024,18:11:33
Litecoin,467.14,26/03/2024,18:11:39
Dogecoin,0.89,26/03/2024,18:11:47
Dólar de Cingapura,3.70,26/03/2024,18:11:53
Coroa Dinamarquesa,0.72,26/03/2024,18:11:58
Coroa Dinamarquesa,0.72,26/03/2024,18:12:04
Boliviano,0.72,26/03/2024,18:12:10
Guarani Paraguaio,0.00,26/03/2024,18:12:16
Dólar de Hong Kong,0.64,26/03/2024,18:12:21
Guarani Paraguaio,0.00,26/03/2024,18:12:27
Franco Suíço,5.51,26/03/2024,18:12:33
Riyal Saudita,1.33,26/03/2024,18:12:39
Litecoin,467.15,26/03/2024,18:12:44
XRP,3.17,26/03/2024,18:12:50
Bitcoin,349880.00,26/03/2024,18:12:56
Dólar Canadense,3.66,26/03/2024,18:13:02
Rand Sul-Africano,0.26,26/03/2024,18:13:08
Dólar Taiuanês,0.16,26/03/2024,18:13:14
Dólar de Cingapura,3.70,26/03/2024,18:13:20
Dogecoin,0.89,26/03/2024,18:13:26
Libra Esterlina,6.29,26/03/2024,18:13:32
Guarani Paraguaio,0.00,26/03/2024,18:13:37
Rublo Russo,0.05,26/03/2024,18:13:43
Dólar Taiuanês,0.16,26/03/2024,18:13:49
Peso Mexicano,0.30,26/03/2024,18:13:55
Coroa Norueguesa,0.46,26/03/2024,18:14:01
Iene Japonês,0.03,26/03/2024,18:14:06
Dólar Neozelandês,2.99,26/03/2024,18:14:12
Iene Japonês,0.03,26/03/2024,18:14:18
Dirham dos Emirados,1.36,26/03/2024,18:14:24
Coroa Dinamarquesa,0.72,26/03/2024,18:14:30
Rúpia Indiana,0.06,26/03/2024,18:14:35
Franco Suíço,5.51,26/03/2024,18:14:42
Peso Mexicano,0.30,26/03/2024,18:14:47
Peso Mexicano,0.30,26/03/2024,18:14:53
Dólar Neozelandês,2.99,26/03/2024,18:14:59
Coroa Sueca,0.47,26/03/2024,18:15:04
Ethereum,17898.54,26/03/2024,18:15:10
Dólar de Hong Kong,0.64,26/03/2024,18:15:16
Franco Suíço,5.51,26/03/2024,18:15:22
Euro,5.39,26/03/2024,18:15:28
Iene Japonês,0.03,26/03/2024,18:15:34
Rúpia Indiana,0.06,26/03/2024,18:15:39
Franco Suíço,5.51,26/03/2024,18:15:45
Peso Mexicano,0.30,26/03/2024,18:15:51
XRP,3.17,26/03/2024,18:15:57
Zlóti Polonês,1.25,26/03/2024,18:16:03
Zlóti Polonês,1.25,26/03/2024,18:16:08
Euro,5.39,26/03/2024,18:16:14
Coroa Norueguesa,0.46,26/03/2024,18:16:20
Yuan Chinês,0.69,26/03/2024,18:16:26
Yuan Chinês,0.69,26/03/2024,18:16:31
Coroa Sueca,0.47,26/03/2024,18:16:38
Dólar Australiano,3.25,26/03/2024,18:16:44
Coroa Sueca,0.47,26/03/2024,18:16:49
Baht Tailandês,0.14,26/03/2024,18:16:55
Novo Shekel Israelense,1.36,26/03/2024,18:17:01
Dirham dos Emirados,1.36,26/03/2024,18:17:07
Riyal Saudita,1.33,26/03/2024,18:17:13
Litecoin,467.15,26/03/2024,18:17:19
Bitcoin,349919.00,26/03/2024,18:17:24
Dólar Americano,4.98,26/03/2024,18:17:31
Libra Esterlina,6.29,26/03/2024,18:17:37
Dólar de Cingapura,3.70,26/03/2024,18:17:44
XRP,3.17,26/03/2024,18:17:50
Rúpia Indiana,0.06,26/03/2024,18:17:55
Rublo Russo,0.05,26/03/2024,18:18:01
Dólar Canadense,3.66,26/03/2024,18:18:08
Peso Uruguaio,0.13,26/03/2024,18:18:15
Coroa Norueguesa,0.46,26/03/2024,18:18:20
Bolívar Venezuelano,0.14,26/03/2024,18:18:26
Libra Esterlina,6.29,26/03/2024,18:18:32
Libra Esterlina,6.29,26/03/2024,18:18:38
Ethereum,17898.54,26/03/2024,18:18:43
Ethereum,17898.54,26/03/2024,18:18:49
Nova Lira Turca,0.15,26/03/2024,18:18:55
Nova Lira Turca,0.15,26/03/2024,18:19:01
Rúpia Indiana,0.06,26/03/2024,18:19:07
Zlóti Polonês,1.25,26/03/2024,18:19:13
Coroa Dinamarquesa,0.72,26/03/2024,18:19:19
Franco Suíço,5.51,26/03/2024,18:19:25
Franco Suíço,5.51,26/03/2024,18:19:32
Rand Sul-Africano,0.26,26/03/2024,18:19:38
Guarani Paraguaio,0.00,26/03/2024,18:19:44
XRP,3.17,26/03/2024,18:19:51
Nova Lira Turca,0.15,26/03/2024,18:19:57
Euro,5.39,26/03/2024,18:20:02
Riyal Saudita,1.33,26/03/2024,18:20:08
Dirham dos Emirados,1.36,26/03/2024,18:20:14
Riyal Saudita,1.33,26/03/2024,18:20:19
Rublo Russo,0.05,26/03/2024,18:20:25
Dólar Australiano,3.25,26/03/2024,18:20:31
Bitcoin,349910.00,26/03/2024,18:20:37
Libra Esterlina,6.29,26/03/2024,18:20:43
XRP,3.17,26/03/2024,18:20:49
Euro,5.39,26/03/2024,18:20:54
Dólar Taiuanês,0.16,26/03/2024,18:21:00
Peso Uruguaio,0.13,26/03/2024,18:21:06
Guarani Paraguaio,0.00,26/03/2024,18:21:12
XRP,3.17,26/03/2024,18:21:18
Coroa Norueguesa,0.46,26/03/2024,18:21:24
Dólar de Cingapura,3.70,26/03/2024,18:21:30
Iene Japonês,0.03,26/03/2024,18:21:36
Riyal Saudita,1.33,26/03/2024,18:21:42
